"auditory_id";"Аудитория";"Тип помещения";"Корпус";"Факультет";"Дата/время занятия";"Дисциплина";"Список групп на этом занятии";"Информация о подгруппах";"Тип занятия";"ID аудитории";"Присутствие преподавателя";"Полное отсутствие студентов";"Ошибка расписания";"Специальный тип";"datetime_parsed";"time_part";"Пара";"Тип недели";"День недели";"Общее количество студентов с учетом подгрупп (ПЛАН)";"Фактическое посещение (ФАКТ)";"Процент посещаемости (факт/план * 100%)";"Разница между планом и фактом"
"30";"Д-617";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"История как наука";"СЖД.2-25-1(И,О)";"0";"Практические (семинарские) занятия";"30";"0,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"30";"26,0";"86,67";"4,0"
"119";"Д-214";"компьютерный класс";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.2-25-1(И,О)";"1";"Лабораторная работа";"119";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"14";"13,0";"92,86";"1,0"
"93";"Г-111";"учебная лаборатория";"Корпус Г";"корпус Б,В,Г";"2025-09-02 08:30:00";"Основные классы неорганических соединений";"СОД.2-25-1(И,О)";"2";"Лабораторная работа";"93";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"14";"12,0";"85,71";"2,0"
"25";"Д-605";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"УК.1-25-1(И,О)";"0";"Лекция";"25";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"17";"16,0";"94,12";"1,0"
"25";"Д-605";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"КТ.1-25-1(И,О)";"0";"Лекция";"25";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"20";"15,0";"75,0";"5,0"
"25";"Д-605";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"МР.1-25-1(И,О)";"0";"Лекция";"25";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"20";"18,0";"90,0";"2,0"
"25";"Д-605";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"ПС.2-25-1(И,О)";"0";"Лекция";"25";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"25";"18,0";"72,0";"7,0"
"17";"Д-703";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"ПСЖ.3-25-1(И,О)";"2";"Практические (семинарские) занятия";"17";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"14";"12,0";"85,71";"2,0"
"134";"Б-206";"аудитория";"Корпус Б";"корпус Б,В,Г";"2025-09-02 08:30:00";"";"БАС.5-25-1(И,О)";"0";"Лекция";"134";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"22";"21,0";"95,45";"1,0"
"134";"Б-206";"аудитория";"Корпус Б";"корпус Б,В,Г";"2025-09-02 08:30:00";"";"БАС.5-25-2(И,О)";"0";"Лекция";"134";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"11";"10,0";"90,91";"1,0"
"31";"Д-821";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"ЭЖД.1-25-1(И,О)";"1";"Практические (семинарские) занятия";"31";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"15";"13,0";"86,67";"2,0"
"113";"Б-201";"компьютерный класс";"Корпус Б";"корпус Б,В,Г";"2025-09-02 08:30:00";"";"ЭЖД.7-25-1(И,О)";"1";"Лабораторная работа";"113";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"15";"10,0";"66,67";"5,0"
"24";"Д-805";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.1-24-1(И,О)";"0";"Лекция";"24";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"28";"22,0";"78,57";"6,0"
"24";"Д-805";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.1-24-2(И,О)";"0";"Лекция";"24";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"13";"8,0";"61,54";"5,0"
"24";"Д-805";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.2-24-1(И,О)";"0";"Лекция";"24";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"29";"18,0";"62,07";"11,0"
"24";"Д-805";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.3-24-1(И,О)";"0";"Лекция";"24";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"24";"14,0";"58,33";"10,0"
"24";"Д-805";"аудитория";"Корпус Д";"корпус Д";"2025-09-02 08:30:00";"";"СОД.3-24-2(И,О)";"0";"Лекция";"24";"1,0";"";"";"";"2025-09-02 08:30:00";"08:30:00";"1,0";"числитель";"Вт";"16";"10,0";"62,5";"6,0"
