"auditory_name";"type_name";"day_name";"pair_number";"время начала";"week_type";"статус"
"А-001";"кабинет";"Вт";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Вт";"9";"22:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Ср";"9";"22:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Чт";"9";"22:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пт";"9";"22:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Сб";"9";"22:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"1";"08:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"2";"10:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"3";"12:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"4";"13:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"5";"15:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"6";"17:10:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"7";"18:50:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"8";"20:30:00";"числитель";"Свободна"
"А-001";"кабинет";"Пн";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Вт";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Ср";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Чт";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пт";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Сб";"9";"22:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"1";"08:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"2";"10:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"3";"12:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"4";"13:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"5";"15:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"6";"17:10:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"7";"18:50:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"8";"20:30:00";"числитель";"Свободна"
"А-006";"кабинет";"Пн";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Вт";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Ср";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Чт";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пт";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Сб";"9";"22:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"1";"08:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"2";"10:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"3";"12:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"4";"13:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"5";"15:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"6";"17:10:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"7";"18:50:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"8";"20:30:00";"числитель";"Свободна"
"А-010";"учебная лаборатория";"Пн";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Вт";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Ср";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Чт";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пт";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Сб";"9";"22:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"1";"08:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"2";"10:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"3";"12:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"4";"13:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"5";"15:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"6";"17:10:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"7";"18:50:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"8";"20:30:00";"числитель";"Свободна"
"А-013";"учебная лаборатория";"Пн";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"5";"15:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"6";"17:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"7";"18:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"8";"20:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Вт";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"5";"15:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"6";"17:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"7";"18:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"8";"20:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Ср";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"5";"15:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"6";"17:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"7";"18:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"8";"20:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Чт";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"5";"15:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"6";"17:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"7";"18:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"8";"20:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Пт";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"5";"15:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"6";"17:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"7";"18:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"8";"20:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Сб";"9";"22:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пн";"1";"08:30:00";"числитель";"Свободна"
"А-08";"кабинет";"Пн";"2";"10:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пн";"3";"12:10:00";"числитель";"Свободна"
"А-08";"кабинет";"Пн";"4";"13:50:00";"числитель";"Свободна"
"А-08";"кабинет";"Пн";"5";"15:30:00";"числитель";"Свободна"
